title,type,tags,amount,date,category
Reset,Income,reset,6919.72,2025-06-01,Household
Rent,Expense,"monthly, bills",8500.00,2025-06-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2025-07-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2025-08-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2025-09-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2025-10-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2025-11-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2025-12-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-01-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-02-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-03-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-04-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-05-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-06-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-07-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-08-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-09-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-10-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-11-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2026-12-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-01-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-02-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-03-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-04-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-05-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-06-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-07-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-08-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-09-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-10-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-11-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2027-12-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-01-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-02-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-03-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-04-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-05-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-06-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-07-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-08-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-09-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-10-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-11-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2028-12-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-01-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-02-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-03-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-04-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-05-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-06-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-07-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-08-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-09-06T00:00:00.000Z,Household
Rent,Expense,"monthly, bills",8500.00,2029-10-06T00:00:00.000Z,Household
